architecture,epochs,batch_size,optimizer,test_score,history_loss,history_score
"[{'name': 'conv2d_1', 'trainable': True, 'dtype': 'float32', 'filters': 8, 'kernel_size': (3, 3), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'flatten_1', 'trainable': True, 'dtype': 'float32', 'data_format': 'channels_last', '_type': <class 'keras.layers.core.Flatten'>}]",10,256,"{'lr': 0.0010000000474974513, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'amsgrad': False, '_type': <class 'keras.optimizers.Adam'>}",0.8129,"[0.6053239406744639, 0.40371375414530436, 0.3647375716527303, 0.341652467473348, 0.32182797889709475, 0.3064721608956655, 0.29696391995747884, 0.2862165829499563, 0.2780403854688009, 0.2703469794352849]","[0.7952999999682109, 0.8613666666984559, 0.8747833333015442, 0.8811166666666667, 0.8879833333651225, 0.8933166666666666, 0.8960500000317891, 0.8991666666348775, 0.9017833333015441, 0.9036833333015442]"
"[{'name': 'conv2d_2', 'trainable': True, 'dtype': 'float32', 'filters': 16, 'kernel_size': (3, 3), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'flatten_2', 'trainable': True, 'dtype': 'float32', 'data_format': 'channels_last', '_type': <class 'keras.layers.core.Flatten'>}]",10,256,"{'lr': 0.0010000000474974513, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'amsgrad': False, '_type': <class 'keras.optimizers.Adam'>}",0.8123,"[0.4387998308022817, 0.30319892576535545, 0.2736409463087718, 0.25142748080094657, 0.23605060091018676, 0.22441812801361083, 0.21529131089051565, 0.2052077881415685, 0.1959055300394694, 0.1892621600707372]","[0.8465333333015442, 0.8929833333333334, 0.9037333333651225, 0.9119499999682109, 0.9163666666984558, 0.9204833333015442, 0.9239333333333334, 0.9269833333015441, 0.9308666666666666, 0.9339166666666666]"
"[{'name': 'conv2d_3', 'trainable': True, 'dtype': 'float32', 'filters': 32, 'kernel_size': (3, 3), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'flatten_3', 'trainable': True, 'dtype': 'float32', 'data_format': 'channels_last', '_type': <class 'keras.layers.core.Flatten'>}]",10,256,"{'lr': 0.0010000000474974513, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'amsgrad': False, '_type': <class 'keras.optimizers.Adam'>}",0.8099,"[0.4080985721747081, 0.2679357565720876, 0.23501956628163656, 0.21159855936368308, 0.19854257458845775, 0.18518039268652597, 0.17304166371822358, 0.16398554830551149, 0.15537166369756064, 0.14667686166763305]","[0.8567833333651225, 0.9038666666348775, 0.9156500000317891, 0.9238333333333333, 0.9301166666348776, 0.93445, 0.9394833333015442, 0.9430333333651225, 0.9458999999682108, 0.9491500000317892]"
"[{'name': 'conv2d_4', 'trainable': True, 'dtype': 'float32', 'filters': 64, 'kernel_size': (3, 3), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'flatten_4', 'trainable': True, 'dtype': 'float32', 'data_format': 'channels_last', '_type': <class 'keras.layers.core.Flatten'>}]",10,256,"{'lr': 0.0010000000474974513, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'amsgrad': False, '_type': <class 'keras.optimizers.Adam'>}",0.787,"[0.41280947614510854, 0.27188036324183146, 0.23696873292922974, 0.2143972373008728, 0.1973131224234899, 0.18243854757944744, 0.17050348799228668, 0.1589267259677251, 0.15023138739267985, 0.14217006173928579]","[0.8560833333333333, 0.9020333333333334, 0.9148000000317892, 0.9234333333015442, 0.9297166666666666, 0.9359333333333333, 0.9395833333333333, 0.9447000000317891, 0.9480666666666666, 0.9507166666666667]"
"[{'name': 'conv2d_5', 'trainable': True, 'dtype': 'float32', 'filters': 128, 'kernel_size': (3, 3), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'flatten_5', 'trainable': True, 'dtype': 'float32', 'data_format': 'channels_last', '_type': <class 'keras.layers.core.Flatten'>}]",10,256,"{'lr': 0.0010000000474974513, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'amsgrad': False, '_type': <class 'keras.optimizers.Adam'>}",0.8425,"[0.4135983421166738, 0.26462336266040803, 0.22675227524439495, 0.2011218630472819, 0.18087789258162182, 0.16503522360722223, 0.15251700677871705, 0.1394883107105891, 0.12943944324652354, 0.12068454577525457]","[0.8563500000317892, 0.9057, 0.9190833333651225, 0.9285166666348775, 0.93485, 0.9422166666984558, 0.9467000000317891, 0.9512000000317892, 0.9554833333333334, 0.9587000000317891]"
"[{'name': 'conv2d_6', 'trainable': True, 'dtype': 'float32', 'filters': 8, 'kernel_size': (5, 5), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'flatten_6', 'trainable': True, 'dtype': 'float32', 'data_format': 'channels_last', '_type': <class 'keras.layers.core.Flatten'>}]",10,256,"{'lr': 0.0010000000474974513, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'amsgrad': False, '_type': <class 'keras.optimizers.Adam'>}",0.8095,"[0.45543895999590556, 0.3164028450012207, 0.2845965033690135, 0.26451617862383525, 0.25129106593132017, 0.2407733149687449, 0.23325547031561533, 0.22527712596257526, 0.2191148763736089, 0.21417997961839041]","[0.84385, 0.8888666666666667, 0.8995666666984559, 0.9058166666666667, 0.9103666666348775, 0.9137, 0.9164166666984558, 0.9200000000317892, 0.9215166666984558, 0.9235833333015442]"
"[{'name': 'conv2d_7', 'trainable': True, 'dtype': 'float32', 'filters': 16, 'kernel_size': (5, 5), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'flatten_7', 'trainable': True, 'dtype': 'float32', 'data_format': 'channels_last', '_type': <class 'keras.layers.core.Flatten'>}]",10,256,"{'lr': 0.0010000000474974513, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'amsgrad': False, '_type': <class 'keras.optimizers.Adam'>}",0.833,"[0.4153220525900523, 0.2840712969938914, 0.25179014286994933, 0.22954495708147685, 0.21362599659760792, 0.20205916175047556, 0.19084868880112965, 0.18202641123930613, 0.17577933878898622, 0.16746793275674185]","[0.8552666666666666, 0.9001333333651225, 0.9104333333333333, 0.9183833333333333, 0.9231166666348776, 0.9280500000317892, 0.9323666666348776, 0.9357666666666666, 0.9387666666348775, 0.94085]"
"[{'name': 'conv2d_8', 'trainable': True, 'dtype': 'float32', 'filters': 32, 'kernel_size': (5, 5), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'flatten_8', 'trainable': True, 'dtype': 'float32', 'data_format': 'channels_last', '_type': <class 'keras.layers.core.Flatten'>}]",10,256,"{'lr': 0.0010000000474974513, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'amsgrad': False, '_type': <class 'keras.optimizers.Adam'>}",0.857,"[0.42488621116479236, 0.29090742003122966, 0.2521081441164017, 0.2289157835960388, 0.21041046588420867, 0.19593507748047512, 0.18308117411931354, 0.17204796001911163, 0.16137732961972553, 0.15556156777938207]","[0.8516333333015442, 0.8967000000317892, 0.9096333333333333, 0.9180833333015442, 0.9249166666984558, 0.9299, 0.9355666666348775, 0.9393500000317891, 0.9432333333651225, 0.9446166666348775]"
"[{'name': 'conv2d_9', 'trainable': True, 'dtype': 'float32', 'filters': 64, 'kernel_size': (5, 5), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'flatten_9', 'trainable': True, 'dtype': 'float32', 'data_format': 'channels_last', '_type': <class 'keras.layers.core.Flatten'>}]",10,256,"{'lr': 0.0010000000474974513, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'amsgrad': False, '_type': <class 'keras.optimizers.Adam'>}",0.866,"[0.42453162369728087, 0.28562499486605325, 0.2506222844759623, 0.2288316589752833, 0.20923841211795807, 0.1942504132827123, 0.18289643499453861, 0.1713926547606786, 0.16060216830571492, 0.15243383864561716]","[0.8518833333651225, 0.8986499999682108, 0.9099166666348775, 0.9176666666666666, 0.9254499999682109, 0.9298833333333333, 0.9343833333333333, 0.9387833333651224, 0.9434166666666667, 0.9459666666348775]"
"[{'name': 'conv2d_10', 'trainable': True, 'dtype': 'float32', 'filters': 128, 'kernel_size': (5, 5), 'strides': (1, 1), 'padding': 'same', 'data_format': 'channels_last', 'dilation_rate': (1, 1), 'activation': 'relu', 'use_bias': True, 'kernel_initializer': {'class_name': 'VarianceScaling', 'config': {'scale': 1.0, 'mode': 'fan_avg', 'distribution': 'uniform', 'seed': None}}, 'bias_initializer': {'class_name': 'Zeros', 'config': {}}, 'kernel_regularizer': None, 'bias_regularizer': None, 'activity_regularizer': None, 'kernel_constraint': None, 'bias_constraint': None, '_type': <class 'keras.layers.convolutional.Conv2D'>}, {'name': 'flatten_10', 'trainable': True, 'dtype': 'float32', 'data_format': 'channels_last', '_type': <class 'keras.layers.core.Flatten'>}]",10,256,"{'lr': 0.0010000000474974513, 'beta_1': 0.8999999761581421, 'beta_2': 0.9990000128746033, 'decay': 0.0, 'epsilon': 1e-07, 'amsgrad': False, '_type': <class 'keras.optimizers.Adam'>}",0.8685,"[0.41570584915479025, 0.27284483132362364, 0.23587877934773763, 0.21250753498872121, 0.19588782343069713, 0.18041582865715028, 0.16912350135644277, 0.157267637916406, 0.14877838928699494, 0.1403332953453064]","[0.8557166666666667, 0.9025500000317891, 0.9155, 0.9240833333651225, 0.9292666666348776, 0.9351833333333334, 0.9391666666348776, 0.9437833333333333, 0.9468666666348775, 0.9508666666666666]"
