hidden_layer,activation,epoch,eta,beta,alpha,mu,batch_size,test_score,history
"(5, 5, 5, 5)",Tanh,30,0.01,0.1,0.001,0.95,32,0.2305,"[1.781775475021298, 1.781627779575546, 1.7814865656603567, 1.781345676570533, 1.7812051065785768, 1.7810648548957988, 1.7809249207396771, 1.7807853033298866, 1.7806460018882964, 1.7805070156389602, 1.7803683438081004, 1.7802299856241124, 1.780091940317553, 1.779954207121128, 1.7798167852696904, 1.7796796740002339, 1.7795428725518816, 1.7794063801658795, 1.779270196085596, 1.7791343195565024, 1.778998749826177, 1.778863486144293, 1.77872852776261, 1.778593873934972, 1.7784595239172993, 1.7783254769675696, 1.7781917323458327, 1.7780582893141867, 1.7779251471367783, 1.7777923050797915]"
"(5, 5, 5, 5)",Tanh,30,0.01,0.1,0.001,0.9,32,0.2305,"[1.788640686981386, 1.7885589978195109, 1.788478359784885, 1.7883978113568768, 1.788317352428304, 1.78823698289256, 1.7881567026431833, 1.7880765115738675, 1.7879964095784544, 1.787916396550938, 1.7878364723854614, 1.7877566369763167, 1.7876768902179476, 1.787597232004945, 1.7875176622320488, 1.787438180794151, 1.7873587875862853, 1.7872794825036378, 1.787200265441546, 1.787121136295485, 1.7870420949610877, 1.786963141334128, 1.7868842753105276, 1.786805496786357, 1.786726805657827, 1.7866482018213032, 1.7865696851732877, 1.786491255610435, 1.786412913029541, 1.7863346573275498]"
"(5, 5, 5, 5)",Tanh,30,0.3,0.1,0.001,0.95,32,0.2305,"[1.7823258012131737, 1.7780843797419494, 1.7742981931700261, 1.7707610021960034, 1.7674551623844175, 1.7643645530745569, 1.761474293774999, 1.7587706334395687, 1.756240851706965, 1.753873170434281, 1.751656674228754, 1.7495812388774425, 1.7476374667354384, 1.745816628266631, 1.7441106090421814, 1.742511861594963, 1.7410133616067176, 1.7396085679710256, 1.7382913863317497, 1.7370561357449168, 1.735897518153496, 1.7348105904003923, 1.733790738535928, 1.7328336542031404, 1.731935312907702, 1.7310919539999488, 1.730300062214544, 1.72955635062929, 1.7288577449186937, 1.7282013687902793]"
"(5, 5, 5, 5)",Tanh,30,0.3,0.1,0.001,0.9,32,0.2305,"[1.7884016102678384, 1.7860131301487217, 1.783731129592459, 1.7815239642255345, 1.7793890373880907, 1.7773238570026486, 1.7753260301865545, 1.7733932582263081, 1.7715233318740466, 1.7697141269417294, 1.7679636001707244, 1.7662697853563538, 1.7646307897087123, 1.7630447904325794, 1.761510031510741, 1.760024820676241, 1.7585875265602966, 1.7571965760036612, 1.7558504515201898, 1.7545476889022216, 1.7532868749582302, 1.7520666453739044, 1.7508856826884804, 1.7497427143787978, 1.7486365110440674, 1.747565884684878, 1.7465296870704565, 1.7455268081885733, 1.744556174772952, 1.7436167489033603]"
"(5, 5, 5, 5)",LeakyReLu(0.1),30,0.01,0.1,0.001,0.95,32,0.2305,"[1.7825717051749308, 1.7824250551968988, 1.7822847514995521, 1.7821447690592698, 1.7820051025526924, 1.7818657512021945, 1.781726714352678, 1.781587991097874, 1.781449580447557, 1.781311481589347, 1.7811736940934, 1.7810362171471295, 1.780899049939451, 1.780762191728186, 1.7806256416942676, 1.780489399615341, 1.7803534644318175, 1.7802178352296456, 1.780082511339939, 1.7799474919424807, 1.7798127764317697, 1.7796783638454838, 1.779544253393403, 1.779410444430425, 1.779276936331199, 1.7791437284649516, 1.779010820003273, 1.778878210122835, 1.7787458981018545, 1.7786138833371565]"
"(5, 5, 5, 5)",LeakyReLu(0.1),30,0.01,0.1,0.001,0.9,32,0.2305,"[1.7866929142546022, 1.7866188737531306, 1.786545870165873, 1.786472940279632, 1.7864000840218557, 1.7863273013204883, 1.7862545921073405, 1.7861819563131613, 1.786109393859251, 1.7860369046741804, 1.7859644886862283, 1.7858921458237387, 1.7858198760151238, 1.7857476791888658, 1.7856755552735109, 1.7856035041976734, 1.7855315258900368, 1.7854596202793505, 1.7853877872944297, 1.7853160268641586, 1.7852443389174877, 1.7851727233834342, 1.7851011801910812, 1.7850297092695824, 1.7849583105481537, 1.7848869839569275, 1.7848157294279743, 1.784744546887144, 1.7846734362639223, 1.7846023974878578]"
"(5, 5, 5, 5)",LeakyReLu(0.1),30,0.3,0.1,0.001,0.95,32,0.2305,"[1.7831113143400126, 1.7788993878834753, 1.775135939764569, 1.7716191738150902, 1.7683317422327696, 1.7652577505321094, 1.7623825326820444, 1.759692532327783, 1.7571751705795022, 1.754818801463525, 1.7526126390636803, 1.750546665634544, 1.7486115732365277, 1.7467987225115753, 1.7451000803468348, 1.7435081837487902, 1.7420160735368198, 1.7406172753006377, 1.7393057582918667, 1.7380759022372791, 1.736922500189317, 1.7358406822569918, 1.7348258647709218, 1.7338737811112817, 1.7329804476006194, 1.7321421503508379, 1.7313554100756423, 1.730616978152075, 1.7299238278650129, 1.729273135174271]"
"(5, 5, 5, 5)",LeakyReLu(0.1),30,0.3,0.1,0.001,0.9,32,0.2305,"[1.7865122505629434, 1.7843435991059673, 1.7822680586315967, 1.7802547703932252, 1.7783019232238315, 1.7764077570821861, 1.774570561379988, 1.772788673187, 1.7710604759535962, 1.76938439778474, 1.7677589121798736, 1.7661825349538836, 1.7646538251129191, 1.7631713821042683, 1.7617338446461601, 1.7603398909933081, 1.758988235625965, 1.757677630262192, 1.7564068619287856, 1.7551747519996739, 1.7539801550817287, 1.7528219590971494, 1.7516990834162502, 1.750610478889653, 1.7495551267186422, 1.7485320364465553, 1.7475402456768825, 1.746578819258859, 1.7456468496811723, 1.744743455503954]"
"(10, 10, 5)",Tanh,30,0.01,0.1,0.001,0.95,32,0.1185,"[1.8146637975913635, 1.814435811992002, 1.8142124630735674, 1.8139896322368556, 1.8137673148258842, 1.8135455094916733, 1.8133242148918305, 1.8131034296878712, 1.8128831525452191, 1.8126633821331763, 1.8124441171249204, 1.812225356197483, 1.8120070980317353, 1.8117893413123825, 1.8115720847279402, 1.8113553269707205, 1.8111390667368303, 1.8109233027261415, 1.8107080336422856, 1.81049325819264, 1.8102789750883137, 1.8100651830441303, 1.8098518807786215, 1.8096390670140043, 1.8094267404761744, 1.809214899894692, 1.8090035440027672, 1.808792671537247, 1.8085822812386012, 1.808372371850912]"
"(10, 10, 5)",Tanh,30,0.01,0.1,0.001,0.9,32,0.415,"[1.7658527408048208, 1.7657430048445077, 1.7656339425210217, 1.76552490790808, 1.7654159007174983, 1.7653069206611922, 1.76519796745089, 1.7650890407981408, 1.7649801404143024, 1.7648712660105517, 1.7647624172978749, 1.764653593987067, 1.7645447957887361, 1.7644360224132931, 1.764327273570963, 1.7642185489717728, 1.7641098483255542, 1.764001171341941, 1.7638925177303715, 1.7637838872000857, 1.7636752794601214, 1.7635666942193136, 1.7634581311863, 1.7633495900695098, 1.763241070577168, 1.7631325724172957, 1.7630240952977063, 1.7629156389259995, 1.762807203009573, 1.7626987872556061]"
