hidden_layer,activation,epoch,eta,beta,alpha,mu,batch_size,test_score,history_loss,history_score
"(32, 16, 8)",Tanh,30,0.01,0.2,0.01,0.95,256,0.3925,"[18.137530320550955, 18.09871708908078, 17.974163448859112, 18.04802656213168, 18.03989777138952, 17.927509776425776, 17.83746996071336, 17.746822372688303, 17.80264255280555, 17.716617454618536, 17.782067845121013, 17.73735470253517, 17.78206342039031, 17.68622311449985, 17.70775737970551, 17.64625671777563, 17.50425995860168, 17.323438604915342, 17.031738941176673, 16.75289171060463, 16.310269307162766, 15.965049164926628, 15.763480344187224, 15.382339868578653, 15.01742491172804, 14.711192527861511, 14.583703965565148, 14.344128081321863, 14.187481255710313, 14.106674854607432, 14.016355801549325]","[0.22187147688838782, 0.22277339346110483, 0.22435174746335965, 0.2254791431792559, 0.22750845546786921, 0.22908680947012403, 0.23201803833145435, 0.23404735062006765, 0.23652762119503945, 0.2374295377677565, 0.23855693348365276, 0.23855693348365276, 0.23923337091319052, 0.23968432919954905, 0.2428410372040586, 0.2459977452085682, 0.25186020293122885, 0.26042841037204056, 0.2726042841037204, 0.2870349492671928, 0.30417136414881624, 0.31927846674182636, 0.33167981961668547, 0.3465614430665164, 0.3616685456595265, 0.3722660653889515, 0.3842164599774521, 0.3927846674182638, 0.4004509582863585, 0.4051860202931229, 0.41037204058624577]"
"(32, 16, 8)",Tanh,30,0.01,0.2,0,0.95,256,0.246,"[17.84590140783986, 18.112123360265812, 18.086717285203903, 18.14963043316526, 18.0050807027775, 18.00592355834827, 17.98677869609783, 17.889308469734733, 17.89099418087628, 17.886840106991755, 17.882264605321836, 17.800206595110037, 17.817304522402882, 17.72940672716501, 17.741086297217166, 17.72567408106586, 17.62278549746208, 17.7636025817507, 17.656559924262385, 17.67323642376984, 17.580763126862053, 17.576187625192134, 17.562039692396993, 17.464569466033904, 17.538740756262023, 17.425015458176855, 17.400030810900333, 17.45295009995108, 17.41797159376396, 17.29798508286732, 17.361319658614068]","[0.21352874859075535, 0.21420518602029312, 0.2148816234498309, 0.2153325817361894, 0.21668545659526495, 0.21758737316798196, 0.21939120631341602, 0.2209695603156708, 0.22277339346110483, 0.22390078917700112, 0.2245772266065389, 0.22593010146561443, 0.22750845546786921, 0.22818489289740698, 0.22953776775648252, 0.2297632468996618, 0.23111612175873733, 0.23134160090191658, 0.23382187147688838, 0.23494926719278467, 0.2363021420518602, 0.23697857948139797, 0.23855693348365276, 0.24013528748590757, 0.24148816234498308, 0.24239007891770012, 0.24351747463359638, 0.24441939120631342, 0.2459977452085682, 0.24577226606538896, 0.24667418263810598]"
"(32, 16, 8)",Tanh,30,0.01,0.3,0.01,0.95,256,0.2905,"[17.1156950452955, 16.87412807052575, 17.031972435230816, 16.966664717211692, 16.86084224817655, 16.97920747876344, 16.994639846653765, 17.00373831800199, 16.888198479413212, 16.99757137582914, 16.930666815878457, 16.972863489914438, 16.937962789581206, 16.93013176772091, 17.04101396147644, 16.98567871469418, 16.98828024516051, 17.068822273742374, 17.047370401639867, 17.009732422509547, 16.994697104944994, 16.990602313001666, 16.95622692060311, 16.879489182010435, 17.00748628619118, 16.89779909738828, 16.80956705517548, 16.85738041389108, 16.79629171208969, 16.660520230189547, 16.64292418096682]","[0.27373167981961666, 0.27395715896279593, 0.2746335963923337, 0.2746335963923337, 0.2750845546786922, 0.27531003382187147, 0.27643742953776773, 0.27598647125140924, 0.27553551296505074, 0.27576099210822996, 0.27643742953776773, 0.27643742953776773, 0.2771138669673055, 0.27846674182638104, 0.2782412626832018, 0.27801578354002254, 0.27801578354002254, 0.2773393461104848, 0.27846674182638104, 0.27846674182638104, 0.2798196166854566, 0.2811724915445321, 0.2829763246899662, 0.2834272829763247, 0.2850056369785795, 0.2879368658399098, 0.29086809470124014, 0.29379932356257044, 0.2965050732807215, 0.30214205186020293, 0.3052987598647125]"
"(32, 16, 8)",Tanh,30,0.01,0.3,0,0.95,256,0.165,"[21.740375776571188, 21.67830548418061, 21.678305484180598, 21.736221702686656, 21.684566696992068, 21.700821768714142, 21.65542797583102, 21.583785252315216, 21.55837917725331, 21.565061817850168, 21.50967416605643, 21.4288804392008, 21.359344854611926, 21.274818481657146, 21.154892174729852, 20.965008855428305, 20.79384897059181, 20.61395951020087, 20.436538412552906, 20.41907926144402, 20.31372231509725, 20.199635793196034, 20.062190131190505, 20.017639193878157, 19.962672969869814, 19.90186696083539, 19.883143526370336, 19.844432374084068, 19.78531207619119, 19.520836038876137, 19.410120939258015]","[0.05659526493799324, 0.057046223224351746, 0.057046223224351746, 0.057722660653889514, 0.05817361894024803, 0.0588500563697858, 0.06042841037204059, 0.061781285231116125, 0.06245772266065389, 0.06403607666290868, 0.06606538895152199, 0.06877113866967305, 0.07237880496054115, 0.07666290868094701, 0.08207440811724916, 0.09064261555806088, 0.09695603156708005, 0.10507328072153325, 0.11025930101465614, 0.11386696730552424, 0.1181510710259301, 0.12423900789177002, 0.12762119503945885, 0.13010146561443067, 0.13258173618940247, 0.13438556933483653, 0.13664036076662908, 0.13979706877113868, 0.14340473506200677, 0.15016910935738445, 0.15986471251409246]"
"(32, 16, 8)",Sigmoid,30,0.01,0.2,0.01,0.95,256,0.235,"[17.987880556996632, 17.87525763195614, 17.79597383037722, 17.83217715157121, 17.868852512422887, 17.801680298404793, 17.828491026269145, 17.78262140952397, 17.799468229357405, 17.847789298347216, 17.89634483101094, 17.91389702161615, 17.91086924884075, 17.866439606392884, 17.86393975103183, 17.861717781080902, 17.83895301976867, 17.92063900601823, 17.898480129605613, 17.855809646301026, 18.021775368105345, 17.99019210926909, 17.969377967729027, 17.938514915382477, 17.960107652013942, 17.898770374568862, 17.994068791544017, 17.954388497633964, 18.0401272181081, 18.105485793579597, 17.952589427646036]","[0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765]"
"(32, 16, 8)",Sigmoid,30,0.01,0.2,0,0.95,256,0.1985,"[18.098818283041453, 18.077987709649463, 17.984250129385508, 18.088402996345458, 18.09881828304145, 18.025911276169488, 18.02591127616948, 17.953004269297523, 18.067572422953464, 18.005080702777494, 18.06757242295346, 18.015495989473497, 18.088402996345458, 17.984250129385508, 18.057157136257473, 18.088402996345458, 18.036326562865483, 18.057157136257466, 18.036326562865483, 18.067572422953464, 18.046741849561474, 18.005080702777498, 18.036326562865483, 17.984250129385504, 18.05715713625747, 17.984250129385508, 18.10923356973744, 18.025911276169488, 18.036326562865483, 18.046741849561478, 18.025911276169484]","[0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495]"
"(32, 16, 8)",Sigmoid,30,0.01,0.3,0.01,0.95,256,0.1985,"[18.331960058130935, 18.24126438245034, 18.268410731389793, 18.26574779308792, 18.33673044222079, 18.324867275953093, 18.334218387275733, 18.38558505620484, 18.343564858107907, 18.343562698212974, 18.36475790578096, 18.375916821143598, 18.345806670992136, 18.409839527651283, 18.422216041247765, 18.507933821610866, 18.479533185771974, 18.441183047353373, 18.382484239632866, 18.480513943224587, 18.47490693845238, 18.532326448951736, 18.548638266925078, 18.596768609639973, 18.510093395127413, 18.559430747921535, 18.56774291565153, 18.587128272219516, 18.607194613104646, 18.69045784779223, 18.67029824867587]","[0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495, 0.21668545659526495]"
"(32, 16, 8)",Sigmoid,30,0.01,0.3,0,0.95,256,0.235,"[17.83903815533499, 17.589071274631113, 17.75571586176703, 17.630732421415093, 17.609901848023096, 17.67239356819907, 17.67239356819907, 17.70363942828705, 17.568240701239116, 17.641147708111085, 17.58907127463111, 17.651562994807076, 17.58907127463111, 17.651562994807076, 17.69322414159106, 17.620317134719095, 17.63073242141509, 17.661978281503075, 17.661978281503075, 17.599486561327105, 17.67239356819907, 17.609901848023096, 17.65156299480708, 17.57865598793511, 17.661978281503075, 17.599486561327105, 17.599486561327105, 17.70363942828705, 17.641147708111085, 17.63073242141509, 17.661978281503075]","[0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765, 0.23404735062006765]"
"(32, 16, 8)",ReLu,30,0.01,0.2,0.01,0.95,256,0.2965,"[22.35331641836635, 22.28866004975725, 22.258233781179563, 22.01303667551044, 21.588011304806287, 20.962578230039632, 20.525653554280176, 19.875296361439755, 19.501684884681598, 19.001696665010286, 18.745171256647524, 18.352288685530226, 18.05917654472517, 17.689686660438145, 17.557068321993434, 17.318469638387914, 17.242167294554, 17.102827816545034, 17.09209165772697, 17.209547125295284, 17.35394454264949, 17.55280809868713, 17.94197038327996, 18.027050402240246, 18.062966014881734, 17.918125786022024, 17.642572413065565, 17.291587023281977, 17.158073804560555, 16.95372927427326, 16.846537941643124]","[0.036753100338218714, 0.037880496054115, 0.039909808342728295, 0.05073280721533258, 0.06922209695603157, 0.09582863585118377, 0.1177001127395716, 0.14498308906426155, 0.16166854565952649, 0.18218714768883879, 0.19549041713641488, 0.21307779030439683, 0.22570462232243518, 0.2399098083427283, 0.25095828635851186, 0.2597519729425028, 0.2635851183765502, 0.2665163472378805, 0.2674182638105975, 0.2658399098083427, 0.2593010146561443, 0.24937993235625705, 0.23652762119503945, 0.2322435174746336, 0.2306651634723788, 0.23585118376550168, 0.2511837655016911, 0.2633596392333709, 0.27373167981961666, 0.2802705749718151, 0.2899661781285231]"
"(32, 16, 8)",ReLu,30,0.01,0.2,0,0.95,256,0.2255,"[18.093821353586147, 17.968837913234207, 18.052160206802164, 18.062575493498162, 18.031329633410177, 18.057157136257473, 18.07798770964946, 18.031329633410174, 17.974256270474896, 18.099239710826836, 18.026332703954875, 18.01591741725888, 18.04716327734686, 18.021335774499573, 18.062996921283546, 18.02133577449957, 18.02133577449957, 18.042587775676946, 18.01134191558896, 18.01176334337435, 17.97552055383106, 17.93927776428777, 17.970523624375755, 17.882204401352492, 17.940120619858547, 17.988885835024764, 17.896833965902356, 17.80104945068081, 17.741507725002553, 17.668239494314538, 17.408338958669397]","[0.2169109357384442, 0.2169109357384442, 0.2169109357384442, 0.2169109357384442, 0.2169109357384442, 0.21668545659526495, 0.21668545659526495, 0.2169109357384442, 0.21713641488162344, 0.21713641488162344, 0.21713641488162344, 0.21713641488162344, 0.21713641488162344, 0.21736189402480272, 0.21736189402480272, 0.21736189402480272, 0.21736189402480272, 0.2178128523111612, 0.2178128523111612, 0.21826381059751973, 0.21848928974069898, 0.21871476888387825, 0.21871476888387825, 0.2189402480270575, 0.21961668545659527, 0.22164599774520857, 0.2234498308906426, 0.22683201803833145, 0.22998872604284104, 0.2351747463359639, 0.24126268320180383]"
