hidden_layer,activation,epoch,eta,beta,alpha,mu,batch_size,test_score,history_loss,history_score
"(128,)",ReLu,10,0.001,0.1,0.001,0,512,0.1069,"[20.83491897932375, 20.823616391730507, 20.8185387933304, 20.81269895209975, 20.80990808530621, 20.800384068573077, 20.797847284247542, 20.80623599011671, 20.796966056493126, 20.80128946536924, 20.796592993890645]","[0.09706666666666666, 0.0972, 0.09735, 0.09753333333333333, 0.09758333333333333, 0.09778333333333333, 0.09796666666666666, 0.09803333333333333, 0.09815, 0.09825, 0.09838333333333334]"
"(128,)",ReLu,10,0.001,0.1,0.001,0.85,512,0.1314,"[20.23950731594251, 20.215268088444066, 20.185186310505618, 20.162854039994258, 20.13099375496104, 20.109169707785792, 20.077944688151277, 20.060440081382914, 20.031374811142204, 19.99659274655223, 19.980866798123202]","[0.12281666666666667, 0.12373333333333333, 0.12483333333333334, 0.1261, 0.12735, 0.12823333333333334, 0.1296, 0.13058333333333333, 0.13156666666666667, 0.1328, 0.13406666666666667]"
"(128,)",ReLu,10,0.001,0.1,0,0,512,0.1062,"[20.59594576828965, 20.586671805995504, 20.58895853642419, 20.589974861059172, 20.583114669773074, 20.57434886979639, 20.585528440781143, 20.576889681383847, 20.57498407269326, 20.562025933597297, 20.56228001475604]","[0.10568333333333334, 0.1058, 0.10591666666666667, 0.10601666666666666, 0.1061, 0.10626666666666666, 0.10628333333333333, 0.10651666666666666, 0.1066, 0.10673333333333333, 0.10686666666666667]"
"(128,)",ReLu,10,0.001,0.1,0,0.85,512,0.0859,"[21.31093014899602, 21.299115375114418, 21.295685279471368, 21.267609311430135, 21.24956954915929, 21.244487925984394, 21.240168546285755, 21.21641195794315, 21.19786403335483, 21.185668137735092, 21.16940694357547]","[0.07441666666666667, 0.07493333333333334, 0.0753, 0.07616666666666666, 0.0771, 0.07725, 0.0778, 0.07855, 0.07943333333333333, 0.08018333333333333, 0.08075]"
"(128,)",ReLu,10,0.001,0.2,0.001,0,512,0.1061,"[20.8771063329104, 20.86352095345014, 20.858828416182348, 20.854135880251274, 20.847537736775994, 20.83801766154746, 20.838152671492686, 20.846164198198263, 20.836517086508053, 20.8380495467947, 20.835389669642876]","[0.09676666666666667, 0.097, 0.09713333333333334, 0.09726666666666667, 0.09748333333333334, 0.09768333333333333, 0.09775, 0.09783333333333333, 0.09796666666666666, 0.09811666666666667, 0.09823333333333334]"
"(128,)",ReLu,10,0.001,0.2,0.001,0.85,512,0.1323,"[20.259490100275006, 20.23362435902315, 20.195946453008194, 20.169702265848642, 20.139392840421102, 20.115308469255833, 20.09173232346254, 20.071459294544578, 20.032638400782098, 20.002075209412723, 19.987519191234078]","[0.12341666666666666, 0.12455, 0.12598333333333334, 0.12735, 0.12853333333333333, 0.12951666666666667, 0.13055, 0.13158333333333333, 0.13306666666666667, 0.13411666666666666, 0.13533333333333333]"
"(128,)",ReLu,10,0.001,0.2,0,0,512,0.1058,"[20.62999264356139, 20.618940113156004, 20.6240217363309, 20.62338653343404, 20.61817786967977, 20.613096246504888, 20.615128895774852, 20.614366652298617, 20.60941206970311, 20.5989947421946, 20.600519229147054]","[0.10426666666666666, 0.10431666666666667, 0.10438333333333333, 0.10448333333333333, 0.10456666666666667, 0.10471666666666667, 0.10491666666666667, 0.10495, 0.10495, 0.10511666666666666, 0.10526666666666666]"
"(128,)",ReLu,10,0.001,0.2,0,0.85,512,0.0868,"[21.301783227281224, 21.28577611428035, 21.276629192565544, 21.25998687666779, 21.24880730568306, 21.236103247745834, 21.228353772404144, 21.20447014348218, 21.190622720330612, 21.177283459496547, 21.15632176390014]","[0.07481666666666667, 0.07551666666666666, 0.07613333333333333, 0.0765, 0.07713333333333333, 0.07761666666666667, 0.07831666666666667, 0.079, 0.07975, 0.08055, 0.08125]"
"(128,)",ReLu,10,0.01,0.1,0.001,0,512,0.0845,"[21.46520338263211, 21.431577365792247, 21.401889689344568, 21.372964340017457, 21.338830404203925, 21.3091429652683, 21.285680595481068, 21.239859159561686, 21.203946966723187, 21.160920577165026, 21.112177437830905]","[0.06965, 0.07105, 0.07213333333333333, 0.0734, 0.07475, 0.07605, 0.07736666666666667, 0.0793, 0.0808, 0.08268333333333333, 0.0846]"
"(128,)",ReLu,10,0.01,0.1,0.001,0.85,512,0.2795,"[20.573349874773605, 20.413152074096697, 20.093915373713447, 19.725643946750726, 19.313292231811733, 18.869691267993524, 18.38112058361446, 17.921390732046934, 17.48351444247173, 17.062664152141046, 16.617424600396365]","[0.10813333333333333, 0.11536666666666667, 0.12861666666666666, 0.1443, 0.16263333333333332, 0.1819, 0.20335, 0.22325, 0.24183333333333334, 0.2609, 0.2803833333333333]"
